gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000000218	ENSOMYT00000000350,ENSOMYT00000000357,ENSOMYT00000000359,ENSOMYT00000163909	0.67	0.60	0.59	14.00	16.68	11.12	15.71	15.38	10.53	3.48	2.17	2.83	4.13	3.10	5.33	5.80	1.82	2.91
ENSOMYG00000000219	ENSOMYT00000000360,ENSOMYT00000000377,ENSOMYT00000000378,ENSOMYT00000000379,ENSOMYT00000134143	10.57	12.50	15.85	8.01	12.75	9.72	9.74	11.54	12.36	9.85	10.37	12.43	30.64	47.79	30.19	22.15	36.37	20.92
ENSOMYG00000000220	ENSOMYT00000000344	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.12
ENSOMYG00000000221	ENSOMYT00000000348,ENSOMYT00000000351,ENSOMYT00000000356	0.86	0.30	0.49	8.88	4.78	4.93	9.48	3.33	2.75	0.82	1.02	0.80	1.79	3.71	1.43	2.79	1.08	3.39
ENSOMYG00000000224	ENSOMYT00000000358,ENSOMYT00000000361	2.46	2.39	2.55	38.24	21.99	54.98	33.02	27.53	21.95	44.35	32.11	89.12	9.20	5.31	8.45	10.39	3.89	7.97
ENSOMYG00000000226	ENSOMYT00000000354,ENSOMYT00000124153,ENSOMYT00000134531,ENSOMYT00000138576,ENSOMYT00000149962,ENSOMYT00000166702	0.87	0.58	0.44	11.23	13.43	13.74	16.52	17.06	16.55	0.51	0.26	0.18	49.56	55.04	30.07	23.06	37.96	31.32
ENSOMYG00000000227	ENSOMYT00000000355,ENSOMYT00000115966,ENSOMYT00000118717	48.09	45.85	56.93	14.85	19.23	18.18	19.18	22.25	16.13	43.63	47.19	40.32	17.73	13.20	16.87	18.68	17.09	18.66
ENSOMYG00000000228	ENSOMYT00000000364	0.10	0.03	0.06	0.03	0.03	0.06	0.06	0.23	0.03	0.00	0.02	0.00	0.03	0.06	0.00	0.00	0.00	0.00
ENSOMYG00000000229	ENSOMYT00000000365	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000230	ENSOMYT00000000363	0.00	0.21	0.00	0.00	0.41	0.00	0.24	0.00	0.00	0.44	1.16	1.70	0.21	0.00	0.21	0.00	0.00	0.00
ENSOMYG00000000231	ENSOMYT00000000373	47.80	40.80	42.41	18.57	15.96	16.41	22.07	18.29	13.67	14.98	31.89	31.57	11.53	10.49	11.13	13.03	13.00	13.46
ENSOMYG00000000232	ENSOMYT00000000367	42.27	46.10	38.74	11.20	10.43	11.91	13.08	11.92	12.51	34.28	39.96	31.77	8.80	8.07	7.51	8.10	4.19	6.14
ENSOMYG00000000233	ENSOMYT00000000370	0.14	0.09	0.25	0.00	0.00	0.00	0.03	0.00	0.00	0.49	0.22	0.23	0.03	0.06	0.00	0.11	0.03	0.00
ENSOMYG00000000234	ENSOMYT00000000369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000235	ENSOMYT00000000374	0.00	0.00	0.03	26.34	31.00	25.23	18.08	13.16	13.77	0.33	0.42	0.84	7.30	8.18	7.73	8.05	2.40	2.77
ENSOMYG00000000236	ENSOMYT00000000380	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000237	ENSOMYT00000000382	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	42.78	86.96	37.80	28.22	130.45	60.58
ENSOMYG00000000239	ENSOMYT00000000384	0.00	0.00	0.18	0.09	0.99	0.31	0.00	0.08	0.22	0.00	0.07	0.00	0.62	0.49	0.00	0.44	0.10	0.00
ENSOMYG00000000240	ENSOMYT00000000385,ENSOMYT00000000387	24.79	24.35	22.53	5.61	6.16	6.74	2.60	4.44	4.34	12.78	13.37	9.88	8.12	7.39	8.31	8.56	7.56	7.99
ENSOMYG00000000242	ENSOMYT00000000392	22.54	33.57	25.63	15.76	18.85	20.48	13.53	21.71	25.19	30.87	32.11	37.35	18.72	23.69	21.39	20.11	21.08	27.57
ENSOMYG00000000243	ENSOMYT00000000390,ENSOMYT00000000395	31.54	32.05	29.54	14.92	15.85	13.90	4.86	8.12	7.68	8.10	7.92	7.96	4.19	4.18	5.11	6.40	1.79	4.51
ENSOMYG00000000244	ENSOMYT00000000389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000246	ENSOMYT00000000393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000248	ENSOMYT00000000396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000250	ENSOMYT00000000408,ENSOMYT00000110606,ENSOMYT00000134083,ENSOMYT00000150861,ENSOMYT00000152156	0.22	0.00	0.03	0.72	2.74	9.04	11.69	11.99	16.03	0.00	0.33	0.00	2.81	5.55	1.84	2.00	0.96	1.52
ENSOMYG00000000251	ENSOMYT00000000406	0.11	0.02	0.14	0.47	0.97	0.76	0.56	0.14	0.17	0.02	0.13	0.03	0.10	0.02	0.10	0.16	0.14	0.12
ENSOMYG00000000252	ENSOMYT00000000398,ENSOMYT00000000416,ENSOMYT00000000424,ENSOMYT00000000427	0.17	0.57	0.71	0.71	1.20	0.65	0.57	0.36	0.47	0.59	1.01	0.25	0.52	0.28	0.40	1.06	0.16	0.29
ENSOMYG00000000253	ENSOMYT00000000400,ENSOMYT00000000403	88.83	95.04	84.67	188.20	207.91	207.71	216.05	218.06	223.05	92.70	94.32	88.40	400.66	395.14	312.13	370.03	491.30	398.51
ENSOMYG00000000255	ENSOMYT00000000409	4.74	2.79	7.96	13.52	7.53	4.95	9.86	8.18	5.85	6.35	2.98	7.49	5.57	6.13	6.63	4.53	13.15	4.29
ENSOMYG00000000257	ENSOMYT00000000407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000258	ENSOMYT00000000413,ENSOMYT00000000418,ENSOMYT00000121362,ENSOMYT00000132256,ENSOMYT00000149942	74.68	76.53	77.52	25.17	29.60	22.20	29.07	26.37	25.51	54.17	54.55	52.16	25.34	35.65	24.67	21.40	26.14	29.64
ENSOMYG00000000259	ENSOMYT00000000417,ENSOMYT00000000421,ENSOMYT00000000429,ENSOMYT00000000434,ENSOMYT00000000707,ENSOMYT00000131703,ENSOMYT00000142232,ENSOMYT00000145758,ENSOMYT00000157162,ENSOMYT00000163799	0.34	0.30	0.69	11.87	7.96	5.72	55.12	14.39	10.41	11.06	5.03	7.01	2.17	3.94	1.95	2.69	0.94	1.13
ENSOMYG00000000260	ENSOMYT00000000410	3.06	3.85	5.07	13.68	15.55	20.42	11.52	24.95	27.32	2.48	4.08	2.90	78.42	105.80	77.30	68.10	126.88	89.22
ENSOMYG00000000261	ENSOMYT00000000419	2.16	4.13	2.60	21.58	22.38	25.88	54.35	22.59	15.95	51.83	46.69	78.08	6.18	2.58	5.20	6.04	2.71	4.87
ENSOMYG00000000262	ENSOMYT00000000420,ENSOMYT00000000423,ENSOMYT00000123594	25.11	24.74	28.43	34.14	25.60	25.29	45.09	26.68	23.12	17.68	17.29	16.92	14.19	18.79	19.06	16.13	17.24	17.86
ENSOMYG00000000263	ENSOMYT00000000426,ENSOMYT00000000428	0.02	0.12	0.02	0.36	0.34	0.66	3.02	0.99	0.44	0.00	0.37	0.08	0.27	0.19	0.25	0.23	0.02	0.20
ENSOMYG00000000266	ENSOMYT00000000460,ENSOMYT00000000464,ENSOMYT00000000467,ENSOMYT00000039649	26.57	26.10	22.57	24.65	16.22	21.66	27.53	21.84	23.10	40.49	22.55	49.08	39.24	39.21	44.75	32.36	53.75	40.24
ENSOMYG00000000267	ENSOMYT00000000444,ENSOMYT00000000448,ENSOMYT00000000453,ENSOMYT00000000466,ENSOMYT00000000473,ENSOMYT00000000476	9.23	9.92	6.34	9.91	13.58	11.37	2.51	7.74	7.49	4.49	4.07	3.06	12.58	11.73	12.18	12.13	11.20	9.37
ENSOMYG00000000268	ENSOMYT00000000431	5.17	7.48	2.40	1.68	2.42	2.53	3.66	1.88	2.32	3.41	1.93	3.31	0.32	0.76	0.60	0.53	0.14	0.36
ENSOMYG00000000269	ENSOMYT00000000433	5.09	5.96	6.10	14.73	17.02	13.73	17.38	14.54	18.48	11.77	11.77	15.07	10.82	7.75	10.89	13.18	9.90	12.13
ENSOMYG00000000270	ENSOMYT00000000449,ENSOMYT00000000454,ENSOMYT00000000462,ENSOMYT00000000472,ENSOMYT00000000478	0.33	0.57	0.22	6.78	8.83	7.07	6.36	5.12	4.64	0.81	0.37	1.02	1.64	2.46	1.77	1.93	1.08	1.34
ENSOMYG00000000271	ENSOMYT00000000436	0.18	0.00	0.00	0.60	1.12	0.47	0.66	0.38	0.84	0.06	0.31	0.00	1.55	0.73	1.71	0.80	0.35	0.19
ENSOMYG00000000272	ENSOMYT00000000435	0.00	0.06	0.13	0.06	0.00	0.06	0.07	0.06	0.29	0.00	0.00	0.05	0.00	0.07	0.07	0.00	0.00	0.05
ENSOMYG00000000273	ENSOMYT00000000437,ENSOMYT00000135696	0.52	0.04	0.30	0.19	0.31	0.35	0.52	0.06	0.23	0.08	0.07	0.30	0.15	0.00	0.00	0.00	0.00	0.09
ENSOMYG00000000274	ENSOMYT00000000440	0.00	0.00	0.09	0.00	1.32	4.03	0.17	0.16	0.37	0.00	0.00	0.05	0.35	1.00	0.98	1.08	0.26	0.08
ENSOMYG00000000275	ENSOMYT00000000438	4.92	3.30	8.97	0.00	0.00	0.00	0.00	0.00	0.00	2.59	6.76	3.96	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000276	ENSOMYT00000000441	0.00	0.00	0.00	0.70	0.82	1.85	1.65	0.10	0.53	0.00	0.00	0.00	0.00	0.59	0.00	0.21	0.00	0.00
ENSOMYG00000000277	ENSOMYT00000000439	9.42	10.90	12.00	5.03	5.37	4.55	6.33	5.67	4.34	8.45	4.71	10.68	1.64	1.73	1.46	2.56	1.03	1.80
ENSOMYG00000000278	ENSOMYT00000000479	0.30	0.33	0.07	12.69	13.36	16.66	6.94	12.96	16.04	1.50	0.85	1.35	23.93	24.07	15.35	24.19	32.31	24.68
ENSOMYG00000000279	ENSOMYT00000000443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000280	ENSOMYT00000000513,ENSOMYT00000000536,ENSOMYT00000000541,ENSOMYT00000164911	0.19	0.48	0.24	1.44	1.52	1.72	1.07	1.11	0.83	0.15	0.14	0.07	0.57	1.18	0.55	0.43	0.32	0.69
ENSOMYG00000000281	ENSOMYT00000000483,ENSOMYT00000000487,ENSOMYT00000000492,ENSOMYT00000000496,ENSOMYT00000014253,ENSOMYT00000014309,ENSOMYT00000131062	55.59	65.45	62.73	79.72	77.97	76.17	104.71	68.80	56.53	57.95	61.73	47.70	45.49	47.76	35.06	46.55	23.88	36.05
ENSOMYG00000000282	ENSOMYT00000000447	1.56	1.45	0.93	0.16	1.41	0.59	0.70	0.28	0.73	1.65	0.00	0.51	1.28	1.28	0.97	1.02	1.45	1.39
ENSOMYG00000000283	ENSOMYT00000000510,ENSOMYT00000000558,ENSOMYT00000000569,ENSOMYT00000000573,ENSOMYT00000000577,ENSOMYT00000000580,ENSOMYT00000119741	71.84	70.36	65.83	36.79	41.07	35.01	20.50	37.32	40.52	61.69	60.82	61.27	42.77	49.46	44.90	38.19	29.42	38.37
ENSOMYG00000000284	ENSOMYT00000000481,ENSOMYT00000000484,ENSOMYT00000000494,ENSOMYT00000000502,ENSOMYT00000000508,ENSOMYT00000000511,ENSOMYT00000000521,ENSOMYT00000000529	0.53	1.29	1.17	10.23	8.18	7.78	9.73	5.93	3.33	6.14	3.64	8.13	2.85	2.32	2.91	3.78	2.32	1.89
ENSOMYG00000000285	ENSOMYT00000000475,ENSOMYT00000000486,ENSOMYT00000000489,ENSOMYT00000000499,ENSOMYT00000032131,ENSOMYT00000033432,ENSOMYT00000163426	2.81	3.69	3.29	1.82	2.65	3.14	2.42	1.65	1.29	1.35	1.10	0.90	0.21	2.71	0.50	0.51	0.23	0.30
ENSOMYG00000000286	ENSOMYT00000000455,ENSOMYT00000000458	0.00	0.00	0.00	5.97	0.00	1.65	3.18	2.30	1.04	0.00	0.00	0.66	0.58	0.00	0.00	0.85	0.00	0.00
ENSOMYG00000000287	ENSOMYT00000000469	0.00	0.00	0.07	0.16	0.00	0.09	0.04	0.09	0.03	0.00	0.00	0.00	0.00	0.00	0.03	0.09	0.03	0.00
ENSOMYG00000000288	ENSOMYT00000000470,ENSOMYT00000152064,ENSOMYT00000166905	26.02	27.00	20.81	2.30	1.64	4.67	2.12	1.63	0.80	15.36	3.57	5.72	0.72	0.62	1.16	0.96	2.91	1.30
ENSOMYG00000000290	ENSOMYT00000000459	1.94	2.71	2.67	5.65	6.28	7.42	2.26	3.80	3.49	0.40	0.31	0.35	3.14	1.43	3.33	3.53	1.53	2.81
ENSOMYG00000000293	ENSOMYT00000000480	1.85	4.29	6.61	0.36	0.89	0.34	0.93	0.36	0.05	1.07	1.67	9.42	0.05	0.05	0.16	0.42	0.05	0.00
ENSOMYG00000000296	ENSOMYT00000000498	0.00	0.00	0.00	0.40	0.16	0.30	1.22	0.28	0.29	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
ENSOMYG00000000297	ENSOMYT00000000488	89.28	93.32	95.83	28.27	26.18	18.51	21.32	16.66	17.49	86.21	140.80	78.91	16.31	18.98	17.44	24.68	16.07	14.86
ENSOMYG00000000299	ENSOMYT00000000503,ENSOMYT00000000516,ENSOMYT00000000523	0.13	0.44	0.27	0.04	0.18	0.51	0.27	0.03	0.09	0.51	0.09	0.40	0.02	0.04	0.12	0.11	0.07	0.10
ENSOMYG00000000300	ENSOMYT00000000501	2.28	2.11	2.16	3.82	6.95	6.76	6.86	9.86	9.39	6.17	5.64	6.50	13.16	14.39	11.57	10.71	8.95	9.64
ENSOMYG00000000301	ENSOMYT00000000504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000303	ENSOMYT00000000512,ENSOMYT00000000519	51.84	55.60	69.07	11.00	13.42	12.27	10.98	13.83	14.93	36.66	38.63	39.63	13.28	11.41	14.58	11.14	7.46	11.94
ENSOMYG00000000305	ENSOMYT00000000538,ENSOMYT00000119607,ENSOMYT00000130531,ENSOMYT00000134518,ENSOMYT00000135657,ENSOMYT00000144180,ENSOMYT00000146726	0.00	0.08	0.00	119.36	40.45	41.60	220.63	54.25	54.89	0.00	0.00	0.00	12.52	10.26	13.93	19.05	11.24	9.75
ENSOMYG00000000306	ENSOMYT00000000522,ENSOMYT00000000528,ENSOMYT00000000537,ENSOMYT00000000539,ENSOMYT00000000546,ENSOMYT00000000554	0.15	0.28	0.06	2.63	2.94	5.26	4.41	2.80	2.16	0.14	0.24	0.00	1.30	0.56	1.02	2.01	0.39	0.99
ENSOMYG00000000308	ENSOMYT00000000520	3.95	4.92	8.14	3.74	5.55	3.80	5.53	2.89	4.43	11.31	11.10	11.76	2.51	4.14	3.49	5.68	4.12	5.76
ENSOMYG00000000310	ENSOMYT00000000531,ENSOMYT00000000532,ENSOMYT00000000756,ENSOMYT00000145968	52.76	52.79	46.75	21.27	15.61	18.68	16.19	12.35	14.19	22.02	19.68	22.37	35.50	43.42	36.68	20.53	28.64	26.67
ENSOMYG00000000311	ENSOMYT00000000601,ENSOMYT00000000617,ENSOMYT00000000625,ENSOMYT00000000630,ENSOMYT00000000633,ENSOMYT00000123155,ENSOMYT00000132625,ENSOMYT00000135213,ENSOMYT00000142023,ENSOMYT00000164659	0.00	0.07	0.00	2.08	1.73	1.53	4.05	0.99	0.91	0.03	0.05	0.09	0.11	0.37	0.33	0.45	0.17	0.18
ENSOMYG00000000312	ENSOMYT00000000526,ENSOMYT00000000533	0.00	0.00	0.00	1.94	1.79	1.80	0.99	0.76	0.35	0.00	0.00	0.00	1.83	1.90	1.76	0.89	1.78	0.79
ENSOMYG00000000313	ENSOMYT00000000524	71.50	67.93	68.24	0.00	0.00	0.00	0.00	0.00	0.00	50.39	69.03	62.83	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000315	ENSOMYT00000000545	0.12	0.06	0.33	3.09	7.16	5.20	4.02	5.87	4.27	1.73	1.23	2.53	5.78	3.69	5.09	4.01	2.01	1.55
ENSOMYG00000000316	ENSOMYT00000000535	12.22	15.18	11.79	1.97	2.08	2.70	2.96	1.34	1.22	4.80	5.88	5.41	0.27	0.28	0.58	0.16	0.00	0.08
ENSOMYG00000000318	ENSOMYT00000000540	0.05	0.05	0.00	0.00	0.19	0.18	0.35	0.25	0.09	0.05	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.08
ENSOMYG00000000319	ENSOMYT00000000542	8.02	10.25	11.43	8.84	12.93	13.22	18.87	15.38	14.66	10.44	11.11	9.46	12.23	13.48	8.79	10.35	10.70	9.03
ENSOMYG00000000320	ENSOMYT00000000549,ENSOMYT00000133107,ENSOMYT00000136930	7.04	7.79	7.13	4.54	2.49	2.61	0.78	1.34	0.59	0.35	0.35	0.47	0.02	0.31	0.50	0.33	0.34	0.25
ENSOMYG00000000321	ENSOMYT00000000548	0.00	0.00	0.00	1.14	0.49	1.94	5.38	2.15	1.69	6.19	2.95	13.39	0.00	0.00	1.62	0.53	0.00	0.00
ENSOMYG00000000322	ENSOMYT00000000544	0.15	0.24	0.27	0.32	0.53	1.10	1.23	0.40	0.63	0.40	0.43	0.29	0.05	0.11	0.17	0.02	0.22	0.02
ENSOMYG00000000323	ENSOMYT00000000543,ENSOMYT00000126266,ENSOMYT00000129145,ENSOMYT00000157722	0.00	0.00	0.00	1.04	0.65	0.45	1.21	0.63	0.80	0.22	0.00	0.34	0.00	0.21	0.21	0.00	0.09	0.26
ENSOMYG00000000326	ENSOMYT00000000555,ENSOMYT00000000581,ENSOMYT00000000609,ENSOMYT00000000627	0.11	0.35	0.26	5.89	5.09	5.47	8.71	3.71	2.92	0.26	0.04	0.21	3.35	2.92	3.01	2.20	3.53	1.26
ENSOMYG00000000327	ENSOMYT00000000557	3.01	1.78	4.04	10.55	12.02	11.04	3.48	6.38	6.93	2.88	4.91	3.24	49.26	74.39	77.36	40.25	96.56	74.57
ENSOMYG00000000329	ENSOMYT00000000553	16.27	16.95	14.23	13.30	17.78	16.91	14.78	19.47	19.31	13.55	12.08	10.50	25.94	33.88	19.56	17.29	20.05	16.93
ENSOMYG00000000331	ENSOMYT00000000457,ENSOMYT00000000568,ENSOMYT00000000649,ENSOMYT00000000701,ENSOMYT00000127696,ENSOMYT00000133288	0.06	0.03	0.01	0.10	0.06	0.28	0.07	0.04	0.11	0.00	0.00	0.10	0.12	0.00	0.02	0.00	0.11	0.14
ENSOMYG00000000332	ENSOMYT00000000560	0.47	0.50	0.43	0.31	3.90	2.27	0.86	0.70	1.84	0.77	0.79	0.40	4.91	3.74	3.39	2.69	0.34	3.68
ENSOMYG00000000334	ENSOMYT00000000563	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000337	ENSOMYT00000000567	0.30	0.59	1.04	7.05	6.25	5.85	7.75	4.69	6.34	0.25	0.65	1.89	1.83	3.74	3.06	4.20	2.16	2.33
ENSOMYG00000000338	ENSOMYT00000000572,ENSOMYT00000144687	0.10	0.28	1.10	2.96	2.70	3.81	4.70	2.20	3.02	0.48	0.44	0.30	47.66	56.89	65.78	34.08	77.51	41.54
ENSOMYG00000000339	ENSOMYT00000000593	111.71	101.30	69.70	44.05	35.00	35.41	30.29	43.96	40.41	96.57	98.03	84.58	29.80	30.01	37.63	40.88	34.77	30.94
ENSOMYG00000000340	ENSOMYT00000000571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000342	ENSOMYT00000000574,ENSOMYT00000000582,ENSOMYT00000127596	12.85	18.87	13.62	13.32	18.20	17.19	19.98	18.09	18.19	15.30	14.10	14.94	34.52	35.13	25.03	20.26	22.75	20.33
ENSOMYG00000000343	ENSOMYT00000000655,ENSOMYT00000000658,ENSOMYT00000000672,ENSOMYT00000000685,ENSOMYT00000000694,ENSOMYT00000000704	3.08	1.99	0.45	8.43	3.25	4.28	8.32	5.25	5.29	2.08	1.00	3.65	1.84	1.82	1.53	1.78	0.59	1.40
ENSOMYG00000000344	ENSOMYT00000000723,ENSOMYT00000000729,ENSOMYT00000000736	12.49	13.98	12.52	9.59	10.62	9.10	5.60	9.14	8.75	3.56	3.15	3.35	7.13	8.38	7.02	6.06	3.68	4.93
ENSOMYG00000000349	ENSOMYT00000000585	0.08	0.07	0.18	0.11	0.04	0.20	0.15	0.15	0.03	0.22	0.20	0.47	0.00	0.00	0.07	0.00	0.03	0.03
ENSOMYG00000000350	ENSOMYT00000000597,ENSOMYT00000000599	1.48	2.39	1.08	8.00	7.28	7.01	9.23	8.04	10.59	1.42	1.97	1.72	74.35	94.51	63.75	35.77	82.16	35.24
ENSOMYG00000000352	ENSOMYT00000000587,ENSOMYT00000124987	1.05	1.53	1.53	9.01	7.13	5.90	8.30	8.28	8.60	0.33	0.66	1.73	1.93	4.50	3.76	5.73	2.74	3.16
ENSOMYG00000000353	ENSOMYT00000000588	209.40	186.94	384.28	18.65	6.53	11.35	3.97	3.07	0.00	252.21	201.73	197.41	0.00	10.26	8.51	0.00	14.50	3.04
ENSOMYG00000000356	ENSOMYT00000000591,ENSOMYT00000135263	7.28	10.52	5.20	3.14	4.24	4.40	3.71	4.19	4.86	3.68	4.84	3.65	5.53	9.82	8.15	6.02	7.12	6.58
ENSOMYG00000000357	ENSOMYT00000000595,ENSOMYT00000000611,ENSOMYT00000000614,ENSOMYT00000000619,ENSOMYT00000150112	85.67	93.41	71.12	10.84	12.71	11.33	11.97	8.31	10.92	48.98	41.04	33.84	10.03	5.87	7.06	16.41	16.99	7.79
ENSOMYG00000000358	ENSOMYT00000000592	0.00	0.00	0.00	0.05	0.06	0.00	0.06	0.00	0.13	0.00	0.00	0.00	0.00	0.19	0.05	0.00	0.00	0.00
ENSOMYG00000000360	ENSOMYT00000000610	4.46	0.13	6.35	18.24	15.47	18.89	21.13	14.60	12.43	9.05	13.86	12.40	3.99	3.48	2.16	5.31	1.32	4.68
ENSOMYG00000000361	ENSOMYT00000000605	10.33	9.88	33.25	1.92	2.54	0.00	8.20	2.13	0.00	83.72	118.42	59.97	0.00	1.54	0.00	0.00	0.00	0.00
ENSOMYG00000000362	ENSOMYT00000000634	0.31	0.66	0.83	9.66	7.93	4.74	12.46	7.25	4.34	5.57	2.90	7.32	2.55	2.68	2.80	3.76	0.68	1.05
ENSOMYG00000000366	ENSOMYT00000000618	0.00	0.19	0.19	0.00	0.10	0.00	0.10	0.00	0.00	0.00	0.04	0.04	0.09	0.05	0.05	0.00	0.04	0.04
ENSOMYG00000000367	ENSOMYT00000000621,ENSOMYT00000000626,ENSOMYT00000121068,ENSOMYT00000131952	42.24	43.86	43.77	18.81	25.06	19.97	16.53	19.40	19.41	22.41	29.09	20.73	16.82	12.17	15.44	17.29	8.97	16.32
ENSOMYG00000000368	ENSOMYT00000000624	0.00	0.10	0.23	1.24	1.18	1.38	0.83	0.34	0.56	0.16	0.25	0.57	0.00	0.00	0.00	0.56	0.14	0.20
ENSOMYG00000000369	ENSOMYT00000000628	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09
ENSOMYG00000000370	ENSOMYT00000000676	23.57	19.41	56.90	13.36	20.17	13.51	10.48	6.92	7.27	24.38	27.81	8.85	2.70	4.86	8.68	7.43	8.27	8.30
ENSOMYG00000000372	ENSOMYT00000000631	89.80	87.53	63.25	13.37	5.18	5.41	5.32	4.57	4.34	43.82	44.28	32.27	5.69	4.04	5.65	10.81	3.36	9.16
ENSOMYG00000000375	ENSOMYT00000000656,ENSOMYT00000127971,ENSOMYT00000137076,ENSOMYT00000150212	0.01	0.00	0.09	0.02	0.02	0.44	0.42	0.08	0.00	0.00	0.00	0.04	0.01	0.07	0.09	0.00	0.09	0.04
ENSOMYG00000000376	ENSOMYT00000000640,ENSOMYT00000000683,ENSOMYT00000073597	1.81	3.73	1.00	0.51	0.00	0.67	0.00	0.33	0.00	0.66	0.72	0.43	0.00	0.18	0.13	0.67	0.00	0.16
ENSOMYG00000000377	ENSOMYT00000000644	1.84	1.37	2.08	1.06	0.38	1.66	0.20	0.10	0.16	0.15	0.03	0.00	0.21	0.26	0.19	0.17	0.20	0.16
ENSOMYG00000000378	ENSOMYT00000000641,ENSOMYT00000146741,ENSOMYT00000152844	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000379	ENSOMYT00000000733,ENSOMYT00000000750,ENSOMYT00000000789,ENSOMYT00000000818,ENSOMYT00000000826,ENSOMYT00000000828,ENSOMYT00000000833,ENSOMYT00000122074	9.35	10.00	9.30	19.36	21.74	19.64	18.81	19.91	18.52	3.81	4.45	4.96	25.37	40.29	33.65	26.34	32.75	26.35
ENSOMYG00000000381	ENSOMYT00000000659,ENSOMYT00000000664,ENSOMYT00000000668,ENSOMYT00000000673,ENSOMYT00000024457,ENSOMYT00000024466,ENSOMYT00000024506,ENSOMYT00000024564,ENSOMYT00000024581,ENSOMYT00000024633	0.18	0.37	0.40	0.76	1.07	1.04	0.83	0.60	0.31	0.20	0.05	0.79	0.20	0.27	0.58	0.58	0.23	0.15
ENSOMYG00000000382	ENSOMYT00000000646	0.74	1.73	2.28	12.40	15.08	9.78	25.70	4.61	4.57	4.53	5.25	5.27	1.72	5.03	1.42	8.23	0.93	1.92
ENSOMYG00000000383	ENSOMYT00000000651,ENSOMYT00000000654	17.36	17.74	22.20	12.73	12.35	8.91	10.84	10.02	7.25	11.86	11.28	8.48	9.36	11.55	11.03	11.70	7.82	11.03
