gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000018199	ENSOMYT00000042827	3.67	2.78	2.50	2.76	2.55	2.92	3.47	2.89	3.86	2.74	2.17	3.54
ENSOMYG00000018200	ENSOMYT00000044021,ENSOMYT00000044072,ENSOMYT00000044147,ENSOMYT00000125463	6.38	6.48	6.53	4.00	6.65	6.15	5.15	3.94	5.44	6.15	7.00	8.16
ENSOMYG00000018201	ENSOMYT00000042813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
ENSOMYG00000018202	ENSOMYT00000042825,ENSOMYT00000125544,ENSOMYT00000146143,ENSOMYT00000151029,ENSOMYT00000155385	4.73	1.20	0.28	0.33	1.09	0.31	3.16	0.28	3.39	0.12	1.02	1.57
ENSOMYG00000018203	ENSOMYT00000044339,ENSOMYT00000044353,ENSOMYT00000044364,ENSOMYT00000044372	6.42	15.09	3.80	26.89	2.61	13.67	4.70	6.23	3.53	13.41	15.93	9.44
ENSOMYG00000018204	ENSOMYT00000042818	0.42	0.17	0.03	0.01	0.63	0.00	0.05	0.28	0.11	0.16	0.00	0.15
ENSOMYG00000018205	ENSOMYT00000042826	11.09	8.83	5.32	4.31	8.22	5.89	7.79	4.17	5.83	7.86	7.64	8.43
ENSOMYG00000018206	ENSOMYT00000043717,ENSOMYT00000043736,ENSOMYT00000043753,ENSOMYT00000043816,ENSOMYT00000043874,ENSOMYT00000043881,ENSOMYT00000043910,ENSOMYT00000108342,ENSOMYT00000130333	82.28	352.90	87.94	234.07	29.12	407.73	12.92	83.14	25.00	42.63	42.82	62.95
ENSOMYG00000018207	ENSOMYT00000028523,ENSOMYT00000042984,ENSOMYT00000043005,ENSOMYT00000124180	0.04	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018208	ENSOMYT00000043163,ENSOMYT00000043173,ENSOMYT00000043178,ENSOMYT00000043235,ENSOMYT00000043261,ENSOMYT00000108330,ENSOMYT00000119187,ENSOMYT00000137472,ENSOMYT00000158361,ENSOMYT00000160490	0.03	0.06	0.00	0.02	0.03	0.02	0.11	0.00	0.05	0.00	0.00	0.04
ENSOMYG00000018211	ENSOMYT00000042831,ENSOMYT00000157467	0.60	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018213	ENSOMYT00000042848,ENSOMYT00000042862,ENSOMYT00000143234,ENSOMYT00000153740,ENSOMYT00000158609	0.93	0.14	0.32	0.00	0.26	0.11	0.27	0.74	0.71	0.61	0.35	0.84
ENSOMYG00000018214	ENSOMYT00000042837,ENSOMYT00000042841	0.10	0.54	0.57	0.10	1.53	0.22	0.72	0.19	2.08	0.96	0.26	1.34
ENSOMYG00000018215	ENSOMYT00000060256,ENSOMYT00000060291,ENSOMYT00000060336,ENSOMYT00000060722,ENSOMYT00000061035,ENSOMYT00000061111,ENSOMYT00000061312,ENSOMYT00000061358,ENSOMYT00000061434	3.17	2.84	2.20	1.30	1.70	2.63	0.31	0.76	0.82	3.03	1.76	3.37
ENSOMYG00000018216	ENSOMYT00000042839	0.45	0.49	0.50	0.13	0.39	0.00	0.00	0.04	0.09	0.10	0.00	0.13
ENSOMYG00000018217	ENSOMYT00000042844	0.33	0.58	0.40	0.38	0.17	0.49	0.00	0.00	0.27	0.14	0.00	0.19
ENSOMYG00000018218	ENSOMYT00000132596	0.86	0.60	0.06	0.00	0.32	0.15	0.01	0.00	0.11	0.00	0.00	0.00
ENSOMYG00000018219	ENSOMYT00000043046,ENSOMYT00000043060,ENSOMYT00000045242,ENSOMYT00000045249,ENSOMYT00000045257,ENSOMYT00000045275,ENSOMYT00000045295,ENSOMYT00000045314,ENSOMYT00000045325,ENSOMYT00000045333	7.72	1.90	1.17	0.58	2.61	1.67	2.82	2.87	2.78	3.53	2.95	9.92
ENSOMYG00000018221	ENSOMYT00000042873	230.53	113.72	218.51	267.79	196.50	111.71	53.98	161.09	102.66	134.33	69.77	64.25
ENSOMYG00000018222	ENSOMYT00000042861	0.04	0.00	0.06	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000018223	ENSOMYT00000042885,ENSOMYT00000042900	40.77	42.05	36.14	59.64	36.93	53.48	31.31	36.90	32.08	36.90	36.84	32.81
ENSOMYG00000018224	ENSOMYT00000042855	0.31	0.27	0.16	0.00	0.40	0.00	0.08	0.07	0.08	0.44	0.00	0.00
ENSOMYG00000018226	ENSOMYT00000043328,ENSOMYT00000043872,ENSOMYT00000043912,ENSOMYT00000043938,ENSOMYT00000043968,ENSOMYT00000043992,ENSOMYT00000044086,ENSOMYT00000044273,ENSOMYT00000044326,ENSOMYT00000044333	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018227	ENSOMYT00000042872,ENSOMYT00000042899,ENSOMYT00000042916,ENSOMYT00000158887	4.66	3.44	2.80	1.07	3.43	2.45	3.32	2.34	3.57	3.06	2.64	2.95
ENSOMYG00000018228	ENSOMYT00000043072,ENSOMYT00000043093,ENSOMYT00000122593,ENSOMYT00000126794	72.13	111.31	129.05	139.03	30.71	199.04	65.00	36.59	43.59	139.85	307.12	185.24
ENSOMYG00000018229	ENSOMYT00000042865	80.62	36.47	41.80	24.47	138.68	28.93	54.30	64.43	78.22	14.22	6.12	33.05
ENSOMYG00000018231	ENSOMYT00000042879	1.36	1.14	1.63	3.44	1.02	1.11	4.77	1.36	2.87	7.79	3.82	6.32
ENSOMYG00000018232	ENSOMYT00000043563,ENSOMYT00000043678,ENSOMYT00000043689	9.21	9.36	5.20	4.70	7.66	6.89	7.26	5.92	5.85	9.99	9.21	17.59
ENSOMYG00000018233	ENSOMYT00000042895	2.42	2.24	1.93	1.47	1.91	1.65	2.41	1.42	2.34	2.06	1.67	2.64
ENSOMYG00000018234	ENSOMYT00000042886,ENSOMYT00000137835,ENSOMYT00000140072,ENSOMYT00000140973,ENSOMYT00000144412,ENSOMYT00000146175,ENSOMYT00000150943,ENSOMYT00000151172,ENSOMYT00000152835,ENSOMYT00000159545	5.29	3.87	1.20	0.76	1.16	3.18	0.86	3.37	0.60	10.80	11.28	28.90
ENSOMYG00000018236	ENSOMYT00000008036,ENSOMYT00000044526,ENSOMYT00000044598,ENSOMYT00000044681,ENSOMYT00000044689,ENSOMYT00000044745,ENSOMYT00000044771,ENSOMYT00000133740,ENSOMYT00000165544	0.91	0.10	2.14	1.02	0.52	0.94	0.63	0.87	0.87	1.48	19.03	3.32
ENSOMYG00000018238	ENSOMYT00000042904	2.35	1.87	1.34	1.25	0.10	2.35	0.44	0.61	0.88	1.67	1.60	2.70
ENSOMYG00000018239	ENSOMYT00000042884	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.05	0.06	0.15
ENSOMYG00000018240	ENSOMYT00000042933	43.89	46.57	48.04	58.33	48.69	44.58	52.59	31.43	18.00	31.40	47.85	26.62
ENSOMYG00000018241	ENSOMYT00000043064,ENSOMYT00000043127,ENSOMYT00000043194,ENSOMYT00000043258,ENSOMYT00000043588,ENSOMYT00000043674,ENSOMYT00000043707,ENSOMYT00000043719,ENSOMYT00000043916,ENSOMYT00000044022	11.79	14.08	10.21	9.84	11.18	10.49	11.45	9.01	11.66	10.68	8.81	14.44
ENSOMYG00000018242	ENSOMYT00000042903	2.34	1.20	0.49	0.46	1.78	1.37	1.90	2.68	2.13	2.36	1.58	3.28
ENSOMYG00000018243	ENSOMYT00000042943,ENSOMYT00000042970	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.04	0.00	0.00	0.06	0.00
ENSOMYG00000018244	ENSOMYT00000042936,ENSOMYT00000042946,ENSOMYT00000042955	15.35	27.80	24.68	30.50	19.93	22.46	34.03	25.11	30.77	23.46	25.46	19.42
ENSOMYG00000018245	ENSOMYT00000043121,ENSOMYT00000043183,ENSOMYT00000073713,ENSOMYT00000126486,ENSOMYT00000129661,ENSOMYT00000136103,ENSOMYT00000159546	1.34	1.80	0.93	0.99	3.06	0.76	0.39	0.59	1.68	0.36	0.48	0.74
ENSOMYG00000018246	ENSOMYT00000043029,ENSOMYT00000043082,ENSOMYT00000043096,ENSOMYT00000043115,ENSOMYT00000148974	34.07	33.68	30.29	36.25	36.13	30.53	48.31	46.60	49.34	31.76	27.56	34.54
ENSOMYG00000018247	ENSOMYT00000042931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018248	ENSOMYT00000042972	5.51	7.01	5.92	1.48	7.27	3.57	8.89	10.46	5.31	6.09	4.60	14.92
ENSOMYG00000018249	ENSOMYT00000042911	0.05	0.00	0.07	0.00	0.00	0.00	0.07	0.06	0.00	0.00	0.09	0.00
ENSOMYG00000018251	ENSOMYT00000042921	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018252	ENSOMYT00000042935	10.09	8.80	10.23	10.90	8.84	10.75	11.03	6.90	11.47	7.92	10.30	10.66
ENSOMYG00000018253	ENSOMYT00000126232,ENSOMYT00000126878,ENSOMYT00000130383,ENSOMYT00000136067,ENSOMYT00000137636,ENSOMYT00000154866,ENSOMYT00000155467,ENSOMYT00000157197,ENSOMYT00000161920	13.61	11.83	10.12	6.68	12.85	7.82	9.36	11.24	10.51	7.18	6.71	14.11
ENSOMYG00000018254	ENSOMYT00000042930	0.12	0.11	0.00	0.00	0.00	0.00	0.09	0.00	0.20	0.62	0.12	0.28
ENSOMYG00000018256	ENSOMYT00000042952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018257	ENSOMYT00000042959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018258	ENSOMYT00000042939	8.66	4.10	4.62	3.99	10.51	3.04	8.32	6.72	10.14	4.46	2.88	6.12
ENSOMYG00000018259	ENSOMYT00000043427,ENSOMYT00000043501,ENSOMYT00000043541,ENSOMYT00000129077,ENSOMYT00000131039,ENSOMYT00000133657,ENSOMYT00000152273	28.73	9.76	7.42	4.05	21.18	5.69	13.26	9.21	10.92	6.49	5.20	12.53
ENSOMYG00000018260	ENSOMYT00000042996	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018262	ENSOMYT00000042951	134.26	313.00	224.40	259.55	140.19	283.97	163.52	209.92	186.95	140.75	99.83	139.08
ENSOMYG00000018263	ENSOMYT00000043091,ENSOMYT00000043101,ENSOMYT00000056264,ENSOMYT00000058947,ENSOMYT00000118968,ENSOMYT00000120606,ENSOMYT00000127977,ENSOMYT00000143787,ENSOMYT00000149127,ENSOMYT00000157174	0.07	0.00	0.12	0.00	0.23	0.11	0.04	0.12	0.27	0.04	0.00	0.46
ENSOMYG00000018264	ENSOMYT00000043000,ENSOMYT00000139437,ENSOMYT00000147275,ENSOMYT00000151816,ENSOMYT00000154451,ENSOMYT00000157059	0.09	0.00	0.00	0.00	0.07	0.00	0.16	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018265	ENSOMYT00000042979	16.77	24.39	13.13	38.77	12.01	29.56	22.42	17.84	14.15	137.74	16.07	52.40
ENSOMYG00000018266	ENSOMYT00000042956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018267	ENSOMYT00000042949,ENSOMYT00000042957,ENSOMYT00000042976	4.51	0.45	1.10	0.85	1.93	0.60	3.23	2.04	1.92	2.53	5.07	3.72
ENSOMYG00000018268	ENSOMYT00000042980	2.01	0.56	0.47	0.34	1.08	0.00	0.77	0.63	0.89	0.37	0.51	0.69
ENSOMYG00000018269	ENSOMYT00000043134,ENSOMYT00000043152,ENSOMYT00000043171,ENSOMYT00000043206	0.73	0.81	0.52	0.83	0.45	0.36	0.05	0.19	0.06	0.23	0.53	0.21
ENSOMYG00000018270	ENSOMYT00000042969	23.27	23.24	15.32	13.10	19.41	22.61	25.64	19.41	32.89	14.54	14.96	10.21
ENSOMYG00000018271	ENSOMYT00000043001,ENSOMYT00000043016	2.96	0.73	1.14	0.96	3.73	0.93	3.42	2.17	4.77	1.44	0.81	0.67
ENSOMYG00000018272	ENSOMYT00000043014,ENSOMYT00000120446,ENSOMYT00000126589,ENSOMYT00000130917,ENSOMYT00000142989,ENSOMYT00000144532,ENSOMYT00000155801,ENSOMYT00000163468	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.07	0.17	0.17	0.00	0.37
ENSOMYG00000018274	ENSOMYT00000042994,ENSOMYT00000117270	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018275	ENSOMYT00000042988,ENSOMYT00000042998,ENSOMYT00000043007	0.08	0.10	0.09	0.03	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018276	ENSOMYT00000042987	2.39	0.90	1.25	0.39	1.20	0.26	1.71	2.03	1.99	0.29	0.83	1.57
ENSOMYG00000018277	ENSOMYT00000042993	2.68	1.96	1.77	0.79	1.30	2.22	1.70	3.09	3.92	1.98	3.18	5.18
ENSOMYG00000018278	ENSOMYT00000044173,ENSOMYT00000044558,ENSOMYT00000044660,ENSOMYT00000044731,ENSOMYT00000044798,ENSOMYT00000045094,ENSOMYT00000158351	19.60	20.06	17.98	13.22	19.93	19.32	17.23	12.52	19.38	17.58	13.26	29.29
ENSOMYG00000018279	ENSOMYT00000043023,ENSOMYT00000043031,ENSOMYT00000043083,ENSOMYT00000043129	0.84	3.03	1.45	0.46	5.57	9.75	4.57	2.12	8.66	8.08	2.50	5.42
ENSOMYG00000018280	ENSOMYT00000043004	4.29	2.90	2.17	1.95	2.98	2.52	2.40	3.28	5.92	2.63	1.85	3.30
ENSOMYG00000018281	ENSOMYT00000043310,ENSOMYT00000043554,ENSOMYT00000043610,ENSOMYT00000043623,ENSOMYT00000043634	10.61	9.81	8.22	5.53	10.66	8.82	10.02	8.85	14.18	8.94	9.58	17.73
ENSOMYG00000018282	ENSOMYT00000043019	7.20	2.40	1.96	1.56	2.10	2.69	3.17	3.61	2.63	6.92	6.58	8.80
ENSOMYG00000018283	ENSOMYT00000043131,ENSOMYT00000043190,ENSOMYT00000043218,ENSOMYT00000043248,ENSOMYT00000043316,ENSOMYT00000043374,ENSOMYT00000043384,ENSOMYT00000043597,ENSOMYT00000132598,ENSOMYT00000133479	4.05	2.38	1.55	1.53	5.05	1.90	4.25	2.73	5.16	1.44	0.54	1.57
ENSOMYG00000018284	ENSOMYT00000043077	9.98	1.22	0.25	0.00	0.78	0.00	2.87	2.39	1.03	0.40	0.00	6.28
ENSOMYG00000018285	ENSOMYT00000042997,ENSOMYT00000043038,ENSOMYT00000043047,ENSOMYT00000043055,ENSOMYT00000116298,ENSOMYT00000119359,ENSOMYT00000125671,ENSOMYT00000127472,ENSOMYT00000148374,ENSOMYT00000167755	5.19	2.81	2.63	2.21	6.58	2.55	5.29	3.55	7.08	5.02	3.53	3.23
ENSOMYG00000018287	ENSOMYT00000043051,ENSOMYT00000043059,ENSOMYT00000043085,ENSOMYT00000065261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.27
ENSOMYG00000018290	ENSOMYT00000043032	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018291	ENSOMYT00000043010	6.35	2.54	1.62	2.41	3.93	1.17	1.38	4.83	7.57	2.08	0.00	2.20
ENSOMYG00000018293	ENSOMYT00000043088,ENSOMYT00000043114,ENSOMYT00000043139,ENSOMYT00000043211,ENSOMYT00000043229,ENSOMYT00000043265	0.11	0.10	0.45	0.09	0.00	0.59	0.17	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018294	ENSOMYT00000043086,ENSOMYT00000043100	1.30	0.40	0.57	0.36	0.89	0.16	1.50	0.99	2.42	1.13	0.29	0.52
ENSOMYG00000018296	ENSOMYT00000043510,ENSOMYT00000043636,ENSOMYT00000043740	9.91	3.41	4.79	2.27	14.59	2.79	9.99	9.32	14.85	3.29	2.99	2.73
ENSOMYG00000018297	ENSOMYT00000043042	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018301	ENSOMYT00000043069	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018303	ENSOMYT00000043094,ENSOMYT00000117974,ENSOMYT00000155172	4.87	2.35	1.98	0.59	4.74	1.23	1.79	2.45	3.54	1.40	0.63	1.39
ENSOMYG00000018305	ENSOMYT00000043067	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.09	0.10	0.23
ENSOMYG00000018306	ENSOMYT00000043079	3.72	2.75	1.85	3.19	3.25	3.21	2.34	2.37	2.64	3.02	2.16	2.17
ENSOMYG00000018307	ENSOMYT00000043073,ENSOMYT00000043081	32.98	14.24	11.17	10.65	24.02	6.97	26.52	19.46	29.61	12.20	5.92	14.05
ENSOMYG00000018309	ENSOMYT00000043074	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018311	ENSOMYT00000043452,ENSOMYT00000043604,ENSOMYT00000043619,ENSOMYT00000043826,ENSOMYT00000043860,ENSOMYT00000043941,ENSOMYT00000043966,ENSOMYT00000044188,ENSOMYT00000129355	0.28	0.08	0.09	0.13	0.33	0.07	0.13	0.32	0.38	0.30	0.11	0.12
ENSOMYG00000018312	ENSOMYT00000043893,ENSOMYT00000044538,ENSOMYT00000044617,ENSOMYT00000044793	2.98	0.77	0.32	0.22	0.86	0.46	1.66	1.96	1.66	0.76	0.63	2.42
ENSOMYG00000018313	ENSOMYT00000043104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018314	ENSOMYT00000043089	5.70	2.08	2.07	0.75	5.91	1.66	11.99	13.14	10.55	5.22	2.75	7.17
ENSOMYG00000018315	ENSOMYT00000043095	0.11	0.12	0.06	0.00	0.20	0.00	0.10	0.00	0.10	0.01	0.01	0.02
ENSOMYG00000018316	ENSOMYT00000043080	3.55	6.03	4.82	10.82	3.19	6.33	1.98	1.80	1.32	3.85	4.19	2.95
ENSOMYG00000018317	ENSOMYT00000043090	18.09	6.65	6.83	2.55	22.60	5.06	22.16	25.80	29.11	13.14	6.04	14.61
ENSOMYG00000018318	ENSOMYT00000043145	7.98	3.75	5.59	4.54	10.87	6.95	9.85	5.23	14.39	5.12	1.92	2.30
ENSOMYG00000018319	ENSOMYT00000043156,ENSOMYT00000043207	8.73	11.54	18.08	22.69	7.10	15.36	9.68	14.31	12.20	16.00	17.68	23.90
ENSOMYG00000018321	ENSOMYT00000043102,ENSOMYT00000043137,ENSOMYT00000043167,ENSOMYT00000043197,ENSOMYT00000043331,ENSOMYT00000043340,ENSOMYT00000043463,ENSOMYT00000043525,ENSOMYT00000043571,ENSOMYT00000043671	6.24	6.01	3.45	2.61	2.57	3.83	4.19	3.43	3.46	5.80	4.17	7.67
ENSOMYG00000018322	ENSOMYT00000045202	0.54	0.29	0.30	0.12	0.02	0.24	0.17	0.17	0.07	0.73	0.88	1.75
ENSOMYG00000018324	ENSOMYT00000043107	1.07	1.86	1.51	4.89	0.80	1.70	1.23	0.93	0.55	2.85	2.06	6.31
ENSOMYG00000018326	ENSOMYT00000043119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018327	ENSOMYT00000043138,ENSOMYT00000159144	22.57	20.22	15.62	15.08	35.36	20.23	37.15	29.93	34.22	20.31	6.77	13.69
ENSOMYG00000018328	ENSOMYT00000043112,ENSOMYT00000043123	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018330	ENSOMYT00000043175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018331	ENSOMYT00000043165,ENSOMYT00000095509,ENSOMYT00000102511,ENSOMYT00000125896,ENSOMYT00000133362,ENSOMYT00000134666	0.87	4.55	0.35	2.91	0.43	5.01	0.07	0.06	0.14	1.36	0.17	1.01
ENSOMYG00000018332	ENSOMYT00000043198,ENSOMYT00000091657,ENSOMYT00000091666,ENSOMYT00000091717,ENSOMYT00000091728	10.66	10.47	14.07	13.07	6.15	11.13	9.51	4.98	8.66	9.35	5.69	11.90
ENSOMYG00000018334	ENSOMYT00000123753,ENSOMYT00000156084	0.00	0.08	0.15	0.07	0.00	0.05	0.05	0.02	0.00	0.00	0.00	0.04
ENSOMYG00000018336	ENSOMYT00000043317,ENSOMYT00000124595	4.02	0.67	0.79	0.42	1.85	1.59	2.04	2.17	1.56	2.33	3.52	3.65
ENSOMYG00000018337	ENSOMYT00000043132	1.27	0.08	0.16	0.00	0.57	0.07	0.67	0.94	1.12	0.08	0.37	0.45
ENSOMYG00000018338	ENSOMYT00000043177,ENSOMYT00000043193,ENSOMYT00000125167	28.06	23.72	25.76	17.11	13.61	11.95	23.63	25.89	24.15	22.64	15.62	41.79
ENSOMYG00000018341	ENSOMYT00000043151,ENSOMYT00000043166,ENSOMYT00000043182,ENSOMYT00000043259	54.70	16.99	15.38	5.03	54.74	9.58	47.40	41.29	53.23	18.78	10.99	34.38
ENSOMYG00000018343	ENSOMYT00000043247,ENSOMYT00000043319	7.77	6.74	8.77	6.98	8.45	10.74	10.29	5.85	12.64	11.76	10.51	16.89
ENSOMYG00000018344	ENSOMYT00000043160,ENSOMYT00000120725	1.80	0.73	0.74	0.67	1.45	1.01	3.02	1.53	3.56	0.90	0.58	1.11
ENSOMYG00000018346	ENSOMYT00000014370,ENSOMYT00000014414,ENSOMYT00000014432,ENSOMYT00000014470,ENSOMYT00000014479,ENSOMYT00000022552,ENSOMYT00000043440,ENSOMYT00000043468	2.81	0.66	0.20	0.17	2.96	0.00	0.86	0.68	1.15	0.69	0.50	0.87
ENSOMYG00000018349	ENSOMYT00000043251	2.22	1.93	2.55	0.78	1.58	1.74	0.49	1.09	2.47	2.76	0.41	1.52
ENSOMYG00000018350	ENSOMYT00000043373,ENSOMYT00000043403	0.00	0.00	0.00	0.00	0.11	0.00	0.04	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000018352	ENSOMYT00000043188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018353	ENSOMYT00000043192	4.19	6.52	0.54	6.35	9.94	20.53	1.24	45.63	6.13	27.19	13.35	16.22
ENSOMYG00000018354	ENSOMYT00000043179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018355	ENSOMYT00000044060,ENSOMYT00000044106,ENSOMYT00000044118,ENSOMYT00000044133	0.08	0.00	0.00	0.00	0.00	0.03	0.18	0.00	0.16	0.03	0.00	0.00
ENSOMYG00000018356	ENSOMYT00000043184	0.20	0.09	0.00	0.00	0.13	0.00	0.13	0.07	0.03	0.00	0.00	0.15
ENSOMYG00000018357	ENSOMYT00000044342,ENSOMYT00000044403,ENSOMYT00000044425,ENSOMYT00000044454,ENSOMYT00000118505,ENSOMYT00000121332,ENSOMYT00000121681,ENSOMYT00000122876,ENSOMYT00000149057,ENSOMYT00000162768	2.47	0.45	0.87	0.04	0.79	0.32	1.13	1.90	2.10	4.25	0.66	3.48
ENSOMYG00000018358	ENSOMYT00000026049,ENSOMYT00000043191,ENSOMYT00000043204,ENSOMYT00000043260,ENSOMYT00000043274,ENSOMYT00000043299,ENSOMYT00000043388,ENSOMYT00000043447,ENSOMYT00000043534	0.00	0.44	3.88	0.00	0.07	0.00	0.00	0.00	0.12	0.00	0.00	0.08
ENSOMYG00000018359	ENSOMYT00000043268,ENSOMYT00000043281,ENSOMYT00000043315	9.31	8.41	7.44	4.25	8.08	6.34	12.01	8.14	9.17	8.83	8.85	9.81
ENSOMYG00000018360	ENSOMYT00000046583,ENSOMYT00000046676,ENSOMYT00000046762,ENSOMYT00000046802,ENSOMYT00000130610	2.49	3.70	2.48	2.06	0.42	4.07	1.15	0.82	0.42	4.28	7.05	7.68
ENSOMYG00000018361	ENSOMYT00000043201	4.20	7.74	6.04	5.82	10.90	6.23	7.29	6.13	7.24	7.42	7.02	11.50
ENSOMYG00000018364	ENSOMYT00000043209	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
ENSOMYG00000018365	ENSOMYT00000043222	38.59	52.75	63.83	40.70	24.04	63.56	38.85	23.21	32.76	37.64	31.14	35.49
ENSOMYG00000018366	ENSOMYT00000043214	2.55	3.78	2.62	2.78	1.46	4.11	3.44	2.61	2.65	4.83	4.45	4.63
ENSOMYG00000018367	ENSOMYT00000043253	3.55	0.74	0.34	2.27	0.85	0.32	0.76	0.59	1.41	0.36	0.14	1.96
ENSOMYG00000018368	ENSOMYT00000043254	16.25	22.09	9.07	9.68	24.37	14.28	36.80	39.50	28.42	11.25	13.70	28.34
ENSOMYG00000018369	ENSOMYT00000043225,ENSOMYT00000151611	12.73	8.28	9.95	4.60	6.66	7.17	5.21	4.84	6.43	3.98	4.35	12.59
ENSOMYG00000018370	ENSOMYT00000043230	29.96	0.00	41.57	0.00	0.00	41.68	67.37	0.00	129.35	0.00	0.00	0.00
ENSOMYG00000018371	ENSOMYT00000043240	19.87	15.20	24.21	19.61	16.54	20.47	20.78	20.36	21.57	14.01	5.52	8.58
ENSOMYG00000018372	ENSOMYT00000043244	54.18	76.09	85.68	85.63	27.84	53.90	36.57	21.51	43.40	38.41	28.24	43.88
ENSOMYG00000018375	ENSOMYT00000054245,ENSOMYT00000054267,ENSOMYT00000054940,ENSOMYT00000054966,ENSOMYT00000054974,ENSOMYT00000055025,ENSOMYT00000055060,ENSOMYT00000055213,ENSOMYT00000055221,ENSOMYT00000126846	39.69	48.84	36.63	32.70	40.72	43.54	38.99	27.91	39.83	49.20	38.72	51.56
ENSOMYG00000018376	ENSOMYT00000043234	8.47	6.84	6.02	3.00	6.24	5.86	6.66	6.66	5.92	10.40	10.07	14.17
ENSOMYG00000018379	ENSOMYT00000043236	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018381	ENSOMYT00000043280,ENSOMYT00000117459,ENSOMYT00000144665	0.78	2.18	1.13	0.40	0.20	1.92	0.52	0.12	0.00	3.04	0.87	0.80
ENSOMYG00000018382	ENSOMYT00000043252,ENSOMYT00000043285,ENSOMYT00000043302,ENSOMYT00000043469,ENSOMYT00000121043,ENSOMYT00000122058,ENSOMYT00000122255,ENSOMYT00000127746,ENSOMYT00000137989,ENSOMYT00000139615	11.19	3.97	10.06	7.59	3.08	9.62	5.36	3.17	7.14	7.21	1.42	47.04
